author,comment,likes,published_at
@wakukukuy67,Tutup selamanya buat ISRAEL !!!!!!!,0,2026-04-15T05:39:07Z
@ZahiraBojong,Org gila merasa menang,0,2026-04-15T05:08:49Z
@SutanTanto-k1w,IRAN TERUSLAH PERCEPAT SENJATA NUKLIR UNTUK JIHAD,0,2026-04-15T05:02:23Z
@Zakir13-l3s,Apakah Amerika tidak perna memasokan sejata ke Ukraina perang  dengan rusia,0,2026-04-15T04:26:00Z
@RomziaPagaralam,Terus berjuang Iran ❤❤❤,2,2026-04-15T03:42:14Z
@Jong_OEN1978,"Dimana² dunia mengecam tindakan memerika dangan si rewel lha.... Indonesia malah melanjutkan kerjasama latihan Garuda Shield.....  Potensi ruang udara Indonesia digunakan.....

hebat hebat... Jadi malu rasanya",0,2026-04-15T03:05:45Z
@Jemidi-q2n,"Salut buat IRAN, tidak biarkan amerika cs berbuat semaunya di timur tengah.",0,2026-04-15T02:56:17Z
@MrA2966,"As sudah tidak punya wibawa dan kekuatan militer lg, banyak pangkalan militer, Alut sista, pers hancur lebur. Kalau saja rudal Iran sampai As pasti As sudah hancur lebur seperti Israel",0,2026-04-15T02:34:55Z
@MrA2966,Bagaimana kalau Asengsmbil Emas dari Papua Naikan tarif pajak 1000 %. Apakah RI setuju atau menteri atau pejabat tertentu setuju.,0,2026-04-15T02:32:23Z
@MrA2966,"As sudah menaikan tarif kepada dunia jauh sebelum perang dengan Iran. Dunia global diam saja dan mau membayar mahal. Giliran Iran menerapkan agar yang lewat Hormuze membayar, As tidak terima  Dunia berteriak. Coba kalau Hormuze ada di Israel atau As. Sudah dari dulu setiap yang lewat suruh bayar.",0,2026-04-15T02:30:17Z
@Opucaaa,AS. Lenyapkan Iran dari Selat Hormus. Hususnya di Timur Tengah. Karena Iran Mendanai Teroris di Timur Tengah.,0,2026-04-15T02:05:17Z
@IchwanOnggi,Ayo china hancurkan  itu Amerika pemeras minyak di timur tengah,0,2026-04-15T01:57:56Z
