comment,cleaning,case_folding,normalisasi,tokenize,stopword removal
"Trompet itu cma orang gila yg milih dia,, ortu nya sendiri tidak percaya jika negara akan Jaya d tangan nya",Trompet itu cma orang gila yg milih dia ortu nya sendiri tidak percaya jika negara akan Jaya d tangan nya,trompet itu cma orang gila yg milih dia ortu nya sendiri tidak percaya jika negara akan jaya d tangan nya,trompet itu cuma orang gila yang memilih dia ya sendiri tidak percaya jika negara akan jaya di tangan ya,"['trompet', 'itu', 'cuma', 'orang', 'gila', 'yang', 'memilih', 'dia', 'ya', 'sendiri', 'tidak', 'percaya', 'jika', 'negara', 'akan', 'jaya', 'di', 'tangan', 'ya']",trompet gila memilih percaya negara jaya tangan
sikap bangsa berani dari rakyat 🇮🇷 hingga keseluruhan pemerintah negara 🇮🇷 adalah betul demi maruah negara tolak sikap bacul penakut mati 🎉❤,sikap bangsa berani dari rakyat  hingga keseluruhan pemerintah negara  adalah betul demi maruah negara tolak sikap bacul penakut mati ,sikap bangsa berani dari rakyat  hingga keseluruhan pemerintah negara  adalah betul demi maruah negara tolak sikap bacul penakut mati ,sikap bangsa berani dari rakyat hingga keseluruhan pemerintah negara adalah betul demi maruah negara tolak sikap bacul penakut mati,"['sikap', 'bangsa', 'berani', 'dari', 'rakyat', 'hingga', 'keseluruhan', 'pemerintah', 'negara', 'adalah', 'betul', 'demi', 'maruah', 'negara', 'tolak', 'sikap', 'bacul', 'penakut', 'mati']",sikap bangsa berani rakyat pemerintah negara maruah negara tolak sikap bacul penakut mati
"GK usah diusir tembak langsung,,",GK usah diusir tembak langsung,gk usah diusir tembak langsung,tidak usah diusir tembak langsung,"['tidak', 'usah', 'diusir', 'tembak', 'langsung']",diusir tembak langsung
Umat yg lagi bersatu.mntap,Umat yg lagi bersatumntap,umat yg lagi bersatumntap,umat yang lagi bersatumntap,"['umat', 'yang', 'lagi', 'bersatumntap']",umat bersatumntap
Amerika dan israel yg jadi dalang semua in..,Amerika dan israel yg jadi dalang semua in,amerika dan israel yg jadi dalang semua in,amerika dan israel yang jadi dalang semua ini,"['amerika', 'dan', 'israel', 'yang', 'jadi', 'dalang', 'semua', 'ini']",amerika israel dalang
"Itu kan hak iran,, trump ngga ad kuasanya di selat hormuz.. dasar amerika,, karna negara adikuasa dia merasa sangat sombong,, semoga cepat mampus manusia setang in dia.",Itu kan hak iran trump ngga ad kuasanya di selat hormuz dasar amerika karna negara adikuasa dia merasa sangat sombong semoga cepat mampus manusia setang in dia,itu kan hak iran trump ngga ad kuasanya di selat hormuz dasar amerika karna negara adikuasa dia merasa sangat sombong semoga cepat mampus manusia setang in dia,itu kan hak iran trump tidak ada kuasanya di selat hormuz dasar amerika karena negara adikuasa dia merasa sangat sombong semoga cepat mampus manusia setang ini dia,"['itu', 'kan', 'hak', 'iran', 'trump', 'tidak', 'ada', 'kuasanya', 'di', 'selat', 'hormuz', 'dasar', 'amerika', 'karena', 'negara', 'adikuasa', 'dia', 'merasa', 'sangat', 'sombong', 'semoga', 'cepat', 'mampus', 'manusia', 'setang', 'ini', 'dia']",hak iran trump kuasanya selat hormuz dasar amerika negara adikuasa sombong semoga cepat mampus manusia setang
Knp Iran TDK menembak  ko disuruh putar balik,Knp Iran TDK menembak  ko disuruh putar balik,knp iran tdk menembak  ko disuruh putar balik,kenapa iran tidak menembak kok disuruh putar balik,"['kenapa', 'iran', 'tidak', 'menembak', 'kok', 'disuruh', 'putar', 'balik']",iran menembak disuruh putar
bravo iran,bravo iran,bravo iran,bravo iran,"['bravo', 'iran']",bravo iran
"GUNTING GUNTING GUNTING KABELNYA
GUNTING KABELNYA SEKARANG JUGA","GUNTING GUNTING GUNTING KABELNYA
GUNTING KABELNYA SEKARANG JUGA","gunting gunting gunting kabelnya
gunting kabelnya sekarang juga",gunting gunting gunting kabelnya gunting kabelnya sekarang juga,"['gunting', 'gunting', 'gunting', 'kabelnya', 'gunting', 'kabelnya', 'sekarang', 'juga']",gunting gunting gunting kabelnya gunting kabelnya
Bombardir As kalau sewenang wenang di iran banyak negara anti As dan banyak negara yang mendukung iran,Bombardir As kalau sewenang wenang di iran banyak negara anti As dan banyak negara yang mendukung iran,bombardir as kalau sewenang wenang di iran banyak negara anti as dan banyak negara yang mendukung iran,bombardir as kalau sewenang wenang di iran banyak negara anti as dan banyak negara yang mendukung iran,"['bombardir', 'as', 'kalau', 'sewenang', 'wenang', 'di', 'iran', 'banyak', 'negara', 'anti', 'as', 'dan', 'banyak', 'negara', 'yang', 'mendukung', 'iran']",bombardir amerika serikat sewenang wenang iran negara anti amerika serikat negara mendukung iran
Presiden AS Donal trump jadi budak pm Israel Netanyahu  👈,Presiden AS Donal trump jadi budak pm Israel Netanyahu  ,presiden as donal trump jadi budak pm israel netanyahu  ,presiden as donal trump jadi budak pm israel netanyahu,"['presiden', 'as', 'donal', 'trump', 'jadi', 'budak', 'pm', 'israel', 'netanyahu']",presiden amerika serikat donald trump budak pm israel netanyahu
Semoga kemenangan ada di pihak Iran pembela sejati Palestina ❤,Semoga kemenangan ada di pihak Iran pembela sejati Palestina ,semoga kemenangan ada di pihak iran pembela sejati palestina ,semoga kemenangan ada di pihak iran pembela sejati palestina,"['semoga', 'kemenangan', 'ada', 'di', 'pihak', 'iran', 'pembela', 'sejati', 'palestina']",semoga kemenangan iran pembela sejati palestina
Amerika dan israel real penjajah terkutuk,Amerika dan israel real penjajah terkutuk,amerika dan israel real penjajah terkutuk,amerika dan israel real penjajah terkutuk,"['amerika', 'dan', 'israel', 'real', 'penjajah', 'terkutuk']",amerika israel real penjajah terkutuk
"ya Allh ,semoga terjadi bencana alam yang besar di Amerika",ya Allh semoga terjadi bencana alam yang besar di Amerika,ya allh semoga terjadi bencana alam yang besar di amerika,ya allh semoga terjadi bencana alam yang besar di amerika,"['ya', 'allh', 'semoga', 'terjadi', 'bencana', 'alam', 'yang', 'besar', 'di', 'amerika']",allh semoga bencana alam amerika
Sebetulnya Amerika memblokade selat Hormuz untuk menyapu ranjau laut supaya bisa dipakai untuk kebutuhan internasional supaya kapal kapal yang lewat bisa aman,Sebetulnya Amerika memblokade selat Hormuz untuk menyapu ranjau laut supaya bisa dipakai untuk kebutuhan internasional supaya kapal kapal yang lewat bisa aman,sebetulnya amerika memblokade selat hormuz untuk menyapu ranjau laut supaya bisa dipakai untuk kebutuhan internasional supaya kapal kapal yang lewat bisa aman,sebetulnya amerika memblokade selat hormuz untuk menyapu ranjau laut supaya bisa dipakai untuk kebutuhan internasional supaya kapal kapal yang lewat bisa aman,"['sebetulnya', 'amerika', 'memblokade', 'selat', 'hormuz', 'untuk', 'menyapu', 'ranjau', 'laut', 'supaya', 'bisa', 'dipakai', 'untuk', 'kebutuhan', 'internasional', 'supaya', 'kapal', 'kapal', 'yang', 'lewat', 'bisa', 'aman']",amerika memblokade selat hormuz menyapu ranjau laut dipakai kebutuhan internasional kapal kapal aman
iran punya rudal ribuan untuk melindungi negara nya,iran punya rudal ribuan untuk melindungi negara nya,iran punya rudal ribuan untuk melindungi negara nya,iran punya rudal ribuan untuk melindungi negara ya,"['iran', 'punya', 'rudal', 'ribuan', 'untuk', 'melindungi', 'negara', 'ya']",iran rudal ribuan melindungi negara
Banyak bicara iran lasung rudal .as aja lasung rudal kemaren jet tepurnya,Banyak bicara iran lasung rudal as aja lasung rudal kemaren jet tepurnya,banyak bicara iran lasung rudal as aja lasung rudal kemaren jet tepurnya,banyak bicara iran lasung rudal as saja lasung rudal kemarin jet tepurnya,"['banyak', 'bicara', 'iran', 'lasung', 'rudal', 'as', 'saja', 'lasung', 'rudal', 'kemarin', 'jet', 'tepurnya']",bicara iran lasung rudal amerika serikat lasung rudal kemarin jet tepurnya
Suka suka je nak blok kapal dekat negara orang😂😂😂.,Suka suka je nak blok kapal dekat negara orang,suka suka je nak blok kapal dekat negara orang,suka suka je nak blok kapal dekat negara orang,"['suka', 'suka', 'je', 'nak', 'blok', 'kapal', 'dekat', 'negara', 'orang']",suka suka je blok kapal negara
Lanjutkan IRAN. Jangan takut Allah bersamamu. Doa kami selalu untukmu. Usir mereka.pulang ke negaranya. AS serakah dan tamak.,Lanjutkan IRAN Jangan takut Allah bersamamu Doa kami selalu untukmu Usir merekapulang ke negaranya AS serakah dan tamak,lanjutkan iran jangan takut allah bersamamu doa kami selalu untukmu usir merekapulang ke negaranya as serakah dan tamak,lanjutkan iran jangan takut allah bersamamu doa kami selalu untukmu usir merekapulang ke negaranya as serakah dan tamak,"['lanjutkan', 'iran', 'jangan', 'takut', 'allah', 'bersamamu', 'doa', 'kami', 'selalu', 'untukmu', 'usir', 'merekapulang', 'ke', 'negaranya', 'as', 'serakah', 'dan', 'tamak']",lanjutkan iran takut allah bersamamu doa untukmu usir merekapulang negaranya amerika serikat serakah tamak
SYIAH IRAN LAKNATULLAH PEMBUNUH UMAT' ISLAM DI SURYA DAN IRAQ AKAN HANCUR,SYIAH IRAN LAKNATULLAH PEMBUNUH UMAT ISLAM DI SURYA DAN IRAQ AKAN HANCUR,syiah iran laknatullah pembunuh umat islam di surya dan iraq akan hancur,syiah iran laknatullah pembunuh umat islam di surya dan iraq akan hancur,"['syiah', 'iran', 'laknatullah', 'pembunuh', 'umat', 'islam', 'di', 'surya', 'dan', 'iraq', 'akan', 'hancur']",syiah iran laknatullah pembunuh umat islam surya iraq hancur
"subhanallah

persatuan rakyat dan pemerintah yang saling mempedulikan","subhanallah

persatuan rakyat dan pemerintah yang saling mempedulikan","subhanallah

persatuan rakyat dan pemerintah yang saling mempedulikan",subhanallah persatuan rakyat dan pemerintah yang saling mempedulikan,"['subhanallah', 'persatuan', 'rakyat', 'dan', 'pemerintah', 'yang', 'saling', 'mempedulikan']",subhanallah persatuan rakyat pemerintah mempedulikan
Kapal Amerika langsung ledakan gak perlu diperingatkan langsung di rudal,Kapal Amerika langsung ledakan gak perlu diperingatkan langsung di rudal,kapal amerika langsung ledakan gak perlu diperingatkan langsung di rudal,kapal amerika langsung ledakan tidak perlu diperingatkan langsung di rudal,"['kapal', 'amerika', 'langsung', 'ledakan', 'tidak', 'perlu', 'diperingatkan', 'langsung', 'di', 'rudal']",kapal amerika langsung ledakan diperingatkan langsung rudal
"Iran keren,mengusir dulu KLO yahudi biasa nya langsung membunuh",Iran kerenmengusir dulu KLO yahudi biasa nya langsung membunuh,iran kerenmengusir dulu klo yahudi biasa nya langsung membunuh,iran kerenmengusir dulu kalau yahudi biasa ya langsung membunuh,"['iran', 'kerenmengusir', 'dulu', 'kalau', 'yahudi', 'biasa', 'ya', 'langsung', 'membunuh']",iran kerenmengusir yahudi langsung membunuh
selat hormuz punya negara mana sih amerika sehat?,selat hormuz punya negara mana sih amerika sehat,selat hormuz punya negara mana sih amerika sehat,selat hormuz punya negara mana sih amerika sehat,"['selat', 'hormuz', 'punya', 'negara', 'mana', 'sih', 'amerika', 'sehat']",selat hormuz negara amerika sehat
Ternyata kapal perang AS pengecut😂😂😂 digertak langsung ciutt dan kabur😂😂,Ternyata kapal perang AS pengecut digertak langsung ciutt dan kabur,ternyata kapal perang as pengecut digertak langsung ciutt dan kabur,ternyata kapal perang as pengecut digertak langsung ciutt dan kabur,"['ternyata', 'kapal', 'perang', 'as', 'pengecut', 'digertak', 'langsung', 'ciutt', 'dan', 'kabur']",kapal perang amerika serikat pengecut digertak langsung ciutt kabur
Laut hormus itu daerah kekuasaannya iran....,Laut hormus itu daerah kekuasaannya iran,laut hormus itu daerah kekuasaannya iran,laut hormus itu daerah kekuasaannya iran,"['laut', 'hormus', 'itu', 'daerah', 'kekuasaannya', 'iran']",laut hormuz daerah kekuasaannya iran
Kenapa iran pakai peringatan segala sih. Harusnya rudal aja sekalian. Apalagi klo kapal al israel jgn lah kasih peringatan tapi langsung aja tenggelamkan😂😂,Kenapa iran pakai peringatan segala sih Harusnya rudal aja sekalian Apalagi klo kapal al israel jgn lah kasih peringatan tapi langsung aja tenggelamkan,kenapa iran pakai peringatan segala sih harusnya rudal aja sekalian apalagi klo kapal al israel jgn lah kasih peringatan tapi langsung aja tenggelamkan,kenapa iran pakai peringatan segala sih harusnya rudal saja sekalian apalagi kalau kapal al israel jangan lah kasih peringatan tapi langsung saja tenggelamkan,"['kenapa', 'iran', 'pakai', 'peringatan', 'segala', 'sih', 'harusnya', 'rudal', 'saja', 'sekalian', 'apalagi', 'kalau', 'kapal', 'al', 'israel', 'jangan', 'lah', 'kasih', 'peringatan', 'tapi', 'langsung', 'saja', 'tenggelamkan']",iran pakai peringatan rudal kapal al israel kasih peringatan langsung tenggelamkan
Trump uda berhbtila kau ngomong beespekulasi ngonkong lho.mati.lho tak bisa lawan Tentara Allah Swt....Allah punya yg.miliku dunia ini...Allah bantu iran sayng iran...Aamiiin,Trump uda berhbtila kau ngomong beespekulasi ngonkong lhomatilho tak bisa lawan Tentara Allah SwtAllah punya ygmiliku dunia iniAllah bantu iran sayng iranAamiiin,trump uda berhbtila kau ngomong beespekulasi ngonkong lhomatilho tak bisa lawan tentara allah swtallah punya ygmiliku dunia iniallah bantu iran sayng iranaamiiin,trump sudah berhbtila kau mengomong beespekulasi ngonkong lhomatilho tak bisa lawan tentara allah swtallah punya ygmiliku dunia iniallah bantu iran sayng iranaamiiin,"['trump', 'sudah', 'berhbtila', 'kau', 'mengomong', 'beespekulasi', 'ngonkong', 'lhomatilho', 'tak', 'bisa', 'lawan', 'tentara', 'allah', 'swtallah', 'punya', 'ygmiliku', 'dunia', 'iniallah', 'bantu', 'iran', 'sayng', 'iranaamiiin']",trump berhbtila kau mengomong beespekulasi ngonkong lhomatilho lawan tentara allah swtallah ygmiliku dunia iniallah bantu iran sayng iranaamiiin
AS Israil akn kiamat tengelam di bumi...selmat Iran Rusia China Koeut Pkistan kita tengelamkan dia...Merdeka...Aamiiin,AS Israil akn kiamat tengelam di bumiselmat Iran Rusia China Koeut Pkistan kita tengelamkan diaMerdekaAamiiin,as israil akn kiamat tengelam di bumiselmat iran rusia china koeut pkistan kita tengelamkan diamerdekaaamiiin,as israil akan kiamat tengelam di bumiselmat iran rusia china koeut pkistan kita tengelamkan diamerdekaaamiiin,"['as', 'israil', 'akan', 'kiamat', 'tengelam', 'di', 'bumiselmat', 'iran', 'rusia', 'china', 'koeut', 'pkistan', 'kita', 'tengelamkan', 'diamerdekaaamiiin']",amerika serikat israil kiamat tengelam bumiselmat iran rusia china koeut pkistan tengelamkan diamerdekaaamiiin
"Jd males nonton tv, berita konoha hoax semua",Jd males nonton tv berita konoha hoax semua,jd males nonton tv berita konoha hoax semua,jadi malas menonton tv berita konoha hoax semua,"['jadi', 'malas', 'menonton', 'tv', 'berita', 'konoha', 'hoax', 'semua']",malas menonton tv berita indonesia hoax
Ada ada saja si opung trump.  Negara orang kok mau di kuasai. Di stel nya pula rumah orang,Ada ada saja si opung trump  Negara orang kok mau di kuasai Di stel nya pula rumah orang,ada ada saja si opung trump  negara orang kok mau di kuasai di stel nya pula rumah orang,ada ada saja sih opung trump negara orang kok mau di kuasai di stel ya pula rumah orang,"['ada', 'ada', 'saja', 'sih', 'opung', 'trump', 'negara', 'orang', 'kok', 'mau', 'di', 'kuasai', 'di', 'stel', 'ya', 'pula', 'rumah', 'orang']",opung trump negara kuasai stel rumah
"Trump sia teh jalma goblog, jiga jurig, sarakah, ngarasa kawasa...goblog, euweuh prikamanusaan.",Trump sia teh jalma goblog jiga jurig sarakah ngarasa kawasagoblog euweuh prikamanusaan,trump sia teh jalma goblog jiga jurig sarakah ngarasa kawasagoblog euweuh prikamanusaan,trump sia teh jalma goblog jiga jurig sarakah ngarasa kawasagoblog euweuh prikamanusaan,"['trump', 'sia', 'teh', 'jalma', 'goblog', 'jiga', 'jurig', 'sarakah', 'ngarasa', 'kawasagoblog', 'euweuh', 'prikamanusaan']",trump sia teh jalma goblog jiga jurig sarakah ngarasa kawasagoblog euweuh prikamanusaan
Hajar terus hancurkan  😅😅 Hercules lawan guliat😂😂,Hajar terus hancurkan   Hercules lawan guliat,hajar terus hancurkan   hercules lawan guliat,hajar terus hancurkan hercules lawan guliat,"['hajar', 'terus', 'hancurkan', 'hercules', 'lawan', 'guliat']",hajar hancurkan hercules lawan guliat
Amerika nekat bet hha,Amerika nekat bet hha,amerika nekat bet hha,amerika nekat banget hha,"['amerika', 'nekat', 'banget', 'hha']",amerika nekat banget hha
❤ Allahu Akbar free Palestine Ilove you Iran ❤, Allahu Akbar free Palestine Ilove you Iran , allahu akbar free palestine ilove you iran ,allahu akbar free palestine ilove you iran,"['allahu', 'akbar', 'free', 'palestine', 'ilove', 'you', 'iran']",allahu akbar free palestine ilove you iran
"Itulah tandanya iran negara yg beradab, tak akn menyerang sebelum diserang. Bkn kaya si dajjal trump, sok berkuasa dan menyerang dimana2, tak ada adabnya. Kurasa udk lari otaknya....udh GILA KEKUASAAN. kasihannyalah manusia yg hidup kya gni. Smoga kita dijauhi dri sifat sprti si Dajjal trump ini.",Itulah tandanya iran negara yg beradab tak akn menyerang sebelum diserang Bkn kaya si dajjal trump sok berkuasa dan menyerang dimana tak ada adabnya Kurasa udk lari otaknyaudh GILA KEKUASAAN kasihannyalah manusia yg hidup kya gni Smoga kita dijauhi dri sifat sprti si Dajjal trump ini,itulah tandanya iran negara yg beradab tak akn menyerang sebelum diserang bkn kaya si dajjal trump sok berkuasa dan menyerang dimana tak ada adabnya kurasa udk lari otaknyaudh gila kekuasaan kasihannyalah manusia yg hidup kya gni smoga kita dijauhi dri sifat sprti si dajjal trump ini,itulah tandanya iran negara yang beradab tak akan menyerang sebelum diserang bukan kayak sih dajjal trump sok berkuasa dan menyerang dimana tak ada adabnya kurasa udk lari otaknyaudh gila kekuasaan kasihannyalah manusia yang hidup kaya begini semoga kita dijauhi dari sifat seperti sih dajjal trump ini,"['itulah', 'tandanya', 'iran', 'negara', 'yang', 'beradab', 'tak', 'akan', 'menyerang', 'sebelum', 'diserang', 'bukan', 'kayak', 'sih', 'dajjal', 'trump', 'sok', 'berkuasa', 'dan', 'menyerang', 'dimana', 'tak', 'ada', 'adabnya', 'kurasa', 'udk', 'lari', 'otaknyaudh', 'gila', 'kekuasaan', 'kasihannyalah', 'manusia', 'yang', 'hidup', 'kaya', 'begini', 'semoga', 'kita', 'dijauhi', 'dari', 'sifat', 'seperti', 'sih', 'dajjal', 'trump', 'ini']",tandanya iran negara beradab menyerang diserang kaya dajjal trump sok berkuasa menyerang dimana adabnya kurasa udk lari otaknyaudh gila kekuasaan kasihannyalah manusia hidup kaya semoga dijauhi sifat dajjal trump
Rudal. Ajah.  Iran.  Tidak.  Ada.  Dengan.  As.   Di. Selat.  Hormuz.   Soal    itu.,Rudal Ajah  Iran  Tidak  Ada  Dengan  As   Di Selat  Hormuz   Soal    itu,rudal ajah  iran  tidak  ada  dengan  as   di selat  hormuz   soal    itu,rudal saja iran tidak ada dengan as di selat hormuz soal itu,"['rudal', 'saja', 'iran', 'tidak', 'ada', 'dengan', 'as', 'di', 'selat', 'hormuz', 'soal', 'itu']",rudal iran amerika serikat selat hormuz
Status perang. Kok adegan mengusir. Knapa gak dirudal aja.,Status perang Kok adegan mengusir Knapa gak dirudal aja,status perang kok adegan mengusir knapa gak dirudal aja,status perang kok adegan mengusir knapa tidak dirudal saja,"['status', 'perang', 'kok', 'adegan', 'mengusir', 'knapa', 'tidak', 'dirudal', 'saja']",status perang adegan mengusir knapa dirudal
Allah selalu bersama Iran.... Allahuakbar,Allah selalu bersama Iran Allahuakbar,allah selalu bersama iran allahuakbar,allah selalu bersama iran allahuakbar,"['allah', 'selalu', 'bersama', 'iran', 'allahuakbar']",allah iran allahuakbar
Dari dulu mahu menjajah negara lain...mesti ikut kehendak mereka... Iran bangsa yang berani dan bijak menghadapi segala halangan dan propaganda imperialis.,Dari dulu mahu menjajah negara lainmesti ikut kehendak mereka Iran bangsa yang berani dan bijak menghadapi segala halangan dan propaganda imperialis,dari dulu mahu menjajah negara lainmesti ikut kehendak mereka iran bangsa yang berani dan bijak menghadapi segala halangan dan propaganda imperialis,dari dulu mahu menjajah negara lainmesti ikut kehendak mereka iran bangsa yang berani dan bijak menghadapi segala halangan dan propaganda imperialis,"['dari', 'dulu', 'mahu', 'menjajah', 'negara', 'lainmesti', 'ikut', 'kehendak', 'mereka', 'iran', 'bangsa', 'yang', 'berani', 'dan', 'bijak', 'menghadapi', 'segala', 'halangan', 'dan', 'propaganda', 'imperialis']",mahu menjajah negara lainmesti kehendak iran bangsa berani bijak menghadapi halangan propaganda imperialis
Semoga iran selalu di lindungi Allah aminn,Semoga iran selalu di lindungi Allah aminn,semoga iran selalu di lindungi allah aminn,semoga iran selalu di lindungi allah amin,"['semoga', 'iran', 'selalu', 'di', 'lindungi', 'allah', 'amin']",semoga iran lindungi allah amin
Semua negara kecuali Iran takut sama Amerika 😂,Semua negara kecuali Iran takut sama Amerika ,semua negara kecuali iran takut sama amerika ,semua negara kecuali iran takut sama amerika,"['semua', 'negara', 'kecuali', 'iran', 'takut', 'sama', 'amerika']",negara kecuali iran takut amerika
Donald bebek Trump penjahat dan puncuri nyata di dunia,Donald bebek Trump penjahat dan puncuri nyata di dunia,donald bebek trump penjahat dan puncuri nyata di dunia,donald bebek trump penjahat dan puncuri nyata di dunia,"['donald', 'bebek', 'trump', 'penjahat', 'dan', 'puncuri', 'nyata', 'di', 'dunia']",donald bebek trump penjahat puncuri nyata dunia
"Cari cari masalah terus,  kalau sudah dibantai baru tau diri,  pergi sana  sebelum di tenggelamkan,  as kalah semua bidang,  karena  mereka. berpikiran kotor.",Cari cari masalah terus  kalau sudah dibantai baru tau diri  pergi sana  sebelum di tenggelamkan  as kalah semua bidang  karena  mereka berpikiran kotor,cari cari masalah terus  kalau sudah dibantai baru tau diri  pergi sana  sebelum di tenggelamkan  as kalah semua bidang  karena  mereka berpikiran kotor,cari cari masalah terus kalau sudah dibantai baru tau diri pergi sana sebelum di tenggelamkan as kalah semua bidang karena mereka berpikiran kotor,"['cari', 'cari', 'masalah', 'terus', 'kalau', 'sudah', 'dibantai', 'baru', 'tau', 'diri', 'pergi', 'sana', 'sebelum', 'di', 'tenggelamkan', 'as', 'kalah', 'semua', 'bidang', 'karena', 'mereka', 'berpikiran', 'kotor']",cari cari dibantai pergi tenggelamkan amerika serikat kalah bidang berpikiran kotor
Tuhan  Yesus Kristus Memberkati Operation Epic Fury USA Amen ✝️,Tuhan  Yesus Kristus Memberkati Operation Epic Fury USA Amen ,tuhan  yesus kristus memberkati operation epic fury usa amen ,tuhan yesus kristus memberkati operation epic fury usah amin,"['tuhan', 'yesus', 'kristus', 'memberkati', 'operation', 'epic', 'fury', 'usah', 'amin']",tuhan yesus kristus memberkati operation epic fury amin
iran china rusia korut akan runtuh seperti unisoviet 2026-2027 Amen,iran china rusia korut akan runtuh seperti unisoviet  Amen,iran china rusia korut akan runtuh seperti unisoviet  amen,iran china rusia korut akan runtuh seperti unisoviet amin,"['iran', 'china', 'rusia', 'korut', 'akan', 'runtuh', 'seperti', 'unisoviet', 'amin']",iran china rusia korut runtuh unisoviet amin
teknologi iran china rusia korut macan kertas penuh dengan kepalsuan,teknologi iran china rusia korut macan kertas penuh dengan kepalsuan,teknologi iran china rusia korut macan kertas penuh dengan kepalsuan,teknologi iran china rusia korut macan kertas penuh dengan kepalsuan,"['teknologi', 'iran', 'china', 'rusia', 'korut', 'macan', 'kertas', 'penuh', 'dengan', 'kepalsuan']",teknologi iran china rusia korut macan kertas penuh kepalsuan
"Inilah susahnya punya presiden ODGJ,seenaknya saja menyerang negara yg berdaulat,,betul² presiden tolol..",Inilah susahnya punya presiden ODGJseenaknya saja menyerang negara yg berdaulatbetul presiden tolol,inilah susahnya punya presiden odgjseenaknya saja menyerang negara yg berdaulatbetul presiden tolol,inilah susahnya punya presiden odgjseenaknya saja menyerang negara yang berdaulatbetul presiden tolol,"['inilah', 'susahnya', 'punya', 'presiden', 'odgjseenaknya', 'saja', 'menyerang', 'negara', 'yang', 'berdaulatbetul', 'presiden', 'tolol']",susahnya presiden odgjseenaknya menyerang negara berdaulatbetul presiden tolol
Berita indonesia sekarang hoax yg banyak..omong kosong😂😂😂dasar pendukung iran dajjal,Berita indonesia sekarang hoax yg banyakomong kosongdasar pendukung iran dajjal,berita indonesia sekarang hoax yg banyakomong kosongdasar pendukung iran dajjal,berita indonesia sekarang hoax yang banyakomong kosongdasar pendukung iran dajjal,"['berita', 'indonesia', 'sekarang', 'hoax', 'yang', 'banyakomong', 'kosongdasar', 'pendukung', 'iran', 'dajjal']",berita indonesia hoax banyakomong kosongdasar pendukung iran dajjal
Donal Trump  ngapain  ngotak Ngatik Negara lain /Donal Otak bebek,Donal Trump  ngapain  ngotak Ngatik Negara lain Donal Otak bebek,donal trump  ngapain  ngotak ngatik negara lain donal otak bebek,donal trump mengapai ngotak ngatik negara lain donal otak bebek,"['donal', 'trump', 'mengapai', 'ngotak', 'ngatik', 'negara', 'lain', 'donal', 'otak', 'bebek']",donald trump mengapai ngotak ngatik negara donald otak bebek
Percuma punya kapal selam... masa gak bs hancurkan kapal musuh,Percuma punya kapal selam masa gak bs hancurkan kapal musuh,percuma punya kapal selam masa gak bs hancurkan kapal musuh,percuma punya kapal selam masa tidak bisa hancurkan kapal musuh,"['percuma', 'punya', 'kapal', 'selam', 'masa', 'tidak', 'bisa', 'hancurkan', 'kapal', 'musuh']",kapal selam hancurkan kapal musuh
"Semoga iran dibom sampai hancur oleh negara2 tetangganya,hnya membuat resah doang",Semoga iran dibom sampai hancur oleh negara tetangganyahnya membuat resah doang,semoga iran dibom sampai hancur oleh negara tetangganyahnya membuat resah doang,semoga iran dibom sampai hancur oleh negara tetangganyahnya membuat resah doang,"['semoga', 'iran', 'dibom', 'sampai', 'hancur', 'oleh', 'negara', 'tetangganyahnya', 'membuat', 'resah', 'doang']",semoga iran dibom hancur negara tetangganyahnya resah doang
"Kaya raja aja asal blok kade trump,alasan y apa iran gk boleh punya nuklir,..brasa tiap negara gk punya brani lwan amerika,hanya iran yg brani lwan..dasar donal bebek",Kaya raja aja asal blok kade trumpalasan y apa iran gk boleh punya nuklirbrasa tiap negara gk punya brani lwan amerikahanya iran yg brani lwandasar donal bebek,kaya raja aja asal blok kade trumpalasan y apa iran gk boleh punya nuklirbrasa tiap negara gk punya brani lwan amerikahanya iran yg brani lwandasar donal bebek,kayak raja saja asal blok kade trumpalasan ya apa iran tidak boleh punya nuklirbrasa tiap negara tidak punya berani lwan amerikahanya iran yang berani lwandasar donal bebek,"['kayak', 'raja', 'saja', 'asal', 'blok', 'kade', 'trumpalasan', 'ya', 'apa', 'iran', 'tidak', 'boleh', 'punya', 'nuklirbrasa', 'tiap', 'negara', 'tidak', 'punya', 'berani', 'lwan', 'amerikahanya', 'iran', 'yang', 'berani', 'lwandasar', 'donal', 'bebek']",kaya raja blok kade trumpalasan iran nuklirbrasa negara berani lwan amerikahanya iran berani lwandasar donald bebek
yang otaknya berisi taii aja yang mau percaya 😂😂😂,yang otaknya berisi taii aja yang mau percaya ,yang otaknya berisi taii aja yang mau percaya ,yang otaknya berisi taii saja yang mau percaya,"['yang', 'otaknya', 'berisi', 'taii', 'saja', 'yang', 'mau', 'percaya']",otaknya berisi taii percaya
